lp,NazwaAplikacji,NumerModelowy,Wlasciciel,CzasTworzenia,Budzet,LiczbaPobran,CzyAplikacjaJestPlatna,DataWydania,OstatniaAktualizacjaOprogramowania
35,Kanlam,3540507493,Hilliard Goodinson,577 dni,95979 zł,3666037,true,2.3.2013,6.2.2017
36,Subin,9723112471,Alecia Abeles,874 dni,1552 zł,2773483,false,7.2.2013,25.3.2022
37,Veribet,5589512534,Evangelin Bowker,302 dni,69042 zł,9599043,true,16.5.2015,1.10.2022
38,Biodex,2818601176,Nissa Alflat,341 dni,67508 zł,6221079,true,2.12.2015,17.6.2020
39,Alphazap,1211145504,Remus Redley,874 dni,2716 zł,9250537,false,2.9.2013,19.12.2017
40,Zontrax,1611321413,Ibrahim Oxenden,192 dni,31780 zł,9384465,true,17.12.2014,26.5.2020
41,Job,4182789566,Baron Jaycocks,883 dni,8632 zł,971772,true,12.5.2015,21.3.2018
42,Tin,3163635803,Toby Carlow,755 dni,90359 zł,140410,false,10.6.2013,5.7.2020
43,Zaam-Dox,8832684120,Smitty Stocky,298 dni,19534 zł,1326757,false,29.10.2015,14.1.2016
44,Sonsing,2451990142,Annaliese Sicily,593 dni,72484 zł,5477064,true,23.5.2014,16.1.2020
45,Opela,1300022324,Analiese Maren,161 dni,19015 zł,8718918,false,11.11.2015,6.1.2021
46,Overhold,1562449812,Meghann Motion,573 dni,12546 zł,8224768,true,2.11.2014,10.7.2018
47,Y-find,4381919569,Marta Cardno,259 dni,94751 zł,2184964,false,12.3.2015,3.8.2018
48,Zathin,3673284676,West Menier,393 dni,68330 zł,6138416,false,5.4.2015,12.8.2021
49,Alphazap,2617456161,Misti Grund,802 dni,36351 zł,510021,true,3.7.2014,29.10.2020
50,It,3918453792,Cordy Foltin,26 dni,54611 zł,506338,true,18.6.2013,28.1.2020
51,Bytecard,2325776365,Bo Alexandersson,597 dni,53446 zł,3284819,true,18.10.2013,21.5.2016
52,Overhold,5693354595,Dannel Alvarado,323 dni,68185 zł,8153797,false,1.3.2013,13.1.2018
53,Span,5786118922,Kip Brake,32 dni,42119 zł,6483443,false,5.8.2015,28.7.2016
54,Otcom,2413436433,Aron Laven,222 dni,3136 zł,5313637,false,14.7.2015,15.10.2022
55,Otcom,2905004720,Eziechiele Stores,302 dni,66120 zł,5822315,false,26.2.2014,5.2.2016
56,Overhold,7785348492,Bern Ebben,240 dni,86864 zł,1009604,true,5.3.2013,8.7.2020
57,Y-find,445800485,Courtnay Boosey,682 dni,44358 zł,5206942,true,11.10.2013,11.4.2016
58,Voyatouch,2965416308,Ignazio Kirvin,694 dni,33369 zł,1059849,true,22.6.2015,8.10.2022
59,Sub-Ex,8446120750,Kellina Osgar,437 dni,55557 zł,8123199,false,23.8.2014,23.12.2016
60,Quo Lux,126580643,Rollin Conti,454 dni,23710 zł,1809606,true,2.7.2015,25.3.2022
61,It,8824540538,Doloritas Hoyt,590 dni,95030 zł,3955480,false,18.8.2012,2.4.2017
62,Y-Solowarm,9357957879,Cart Hearst,349 dni,18136 zł,2987587,false,24.6.2014,31.8.2020
63,Sub-Ex,5388034185,Archie Boulding,725 dni,80342 zł,4321028,false,27.12.2013,31.12.2020
64,Transcof,8950166387,Lorelei Muttock,797 dni,2512 zł,9450881,false,3.7.2013,18.12.2017
65,Span,3386626986,Gerianne Rulton,580 dni,15139 zł,7773149,true,17.1.2015,12.5.2017
66,Cardify,4317064421,Horatia Crowcombe,567 dni,39893 zł,9014977,false,30.12.2013,27.8.2019
67,Transcof,3011165159,Krisha Hemphall,681 dni,10227 zł,5724509,false,12.11.2013,2.3.2022
68,Bytecard,5573352368,Charin Lisciandri,82 dni,29172 zł,2263090,false,24.6.2014,24.5.2022
69,Subin,4354351164,Blondelle Langtry,392 dni,59544 zł,9037984,true,24.1.2014,22.10.2022
70,Veribet,3057465355,Xylia Bleiman,113 dni,98016 zł,2928688,true,12.2.2014,19.4.2018
71,Cardguard,9489052884,Dino Key,218 dni,94092 zł,9125316,true,22.5.2015,3.4.2020
72,Latlux,5232211320,Jyoti Haggart,749 dni,63317 zł,2628367,false,9.3.2014,25.4.2020
73,Viva,7189278736,Bessie Billo,185 dni,56303 zł,1200587,false,11.8.2013,1.10.2020
74,Keylex,3302437156,Myrlene Arro,578 dni,22407 zł,3376054,false,5.10.2014,14.10.2022
75,Zontrax,9911371981,Damien Wadworth,27 dni,50662 zł,5366022,true,17.5.2013,18.5.2016
76,Sonair,3191373507,Greer Grosier,234 dni,37758 zł,5204702,true,17.1.2013,31.10.2016
77,Zamit,9068178073,Quill Bestall,736 dni,74628 zł,1259859,true,15.12.2014,11.1.2022
78,Rank,3060354112,Amata Evitts,644 dni,91876 zł,1665666,false,20.11.2014,23.2.2021
79,Quo Lux,2950827774,Gale Mackney,132 dni,31219 zł,2325955,true,14.12.2012,22.11.2018
80,Alphazap,1019490820,Helsa Hadaway,427 dni,98651 zł,4125176,true,21.8.2012,15.9.2020
81,Subin,2538250044,Amelie Matuszynski,329 dni,11136 zł,4118781,false,1.10.2013,7.3.2016
82,Bytecard,494318551,Ephrayim Pahlsson,331 dni,36880 zł,457579,true,1.12.2012,2.7.2019
83,Cardify,6765315415,Duffy Treanor,215 dni,47816 zł,5759348,true,25.6.2014,21.6.2020
84,Duobam,8414460475,Lucian Dimeloe,413 dni,94212 zł,343838,false,4.10.2013,6.4.2019
85,Viva,3498264015,Laughton Darracott,805 dni,47257 zł,4197562,true,5.9.2015,30.7.2021
86,Temp,9601685729,Spencer Asty,191 dni,95899 zł,2385938,false,4.1.2015,5.4.2020
87,Tres-Zap,3073170298,Janela Lambeth,286 dni,36787 zł,5810994,false,11.9.2013,24.11.2017
88,Bamity,549453988,Elsinore Lauret,273 dni,23825 zł,2405154,false,20.4.2014,23.5.2019
89,Matsoft,4368576658,Billy Gullane,519 dni,18098 zł,3717617,false,24.12.2012,21.6.2016
90,Overhold,6780714376,Lura Knotte,630 dni,31176 zł,6203530,false,29.1.2014,10.10.2018
91,Bitwolf,4640246434,Karol Gildersleeve,184 dni,70808 zł,1374442,true,16.2.2015,23.11.2018
92,Keylex,502652392,Madella Simonato,667 dni,31974 zł,123206,false,3.11.2014,20.4.2018
93,Stim,3936640456,Alvera Dyzart,221 dni,49212 zł,1378498,false,24.4.2015,8.5.2017
94,Asoka,5618913569,Olivia Tejero,705 dni,41425 zł,8752548,true,6.7.2013,27.5.2020
95,Opela,5031173907,Guntar Girardeau,625 dni,87936 zł,4867824,false,21.7.2014,27.10.2017
96,Kanlam,8487025632,Trumann Oret,105 dni,56118 zł,2767151,true,31.1.2013,25.5.2021
97,Lotstring,9147036441,Bradford Denyer,818 dni,7404 zł,107014,false,5.3.2013,20.12.2016
98,Alpha,6937177791,Pancho Lawden,444 dni,10422 zł,8660515,false,27.8.2015,6.10.2020
99,Veribet,7642937008,Vance Cosgrive,304 dni,44268 zł,7621634,true,12.6.2015,2.9.2018
100,Redhold,7504602991,Reynolds Creswell,517 dni,51896 zł,3913619,true,24.5.2015,12.2.2019
101,Stim,4858748182,Elizabet Amber,683 dni,21711 zł,9505619,false,8.2.2015,21.11.2020
102,Ventosanzap,6643186284,Donelle Witherden,46 dni,92507 zł,156364,false,9.8.2013,30.12.2018
103,Veribet,8654477309,Gennifer MacAughtrie,8 dni,94571 zł,9675251,false,16.5.2013,14.4.2016
104,Transcof,8867113489,Gaultiero Osmint,14 dni,83535 zł,7469921,false,13.2.2013,31.10.2017
105,Stronghold,4961902947,Cass Halley,76 dni,34879 zł,6924182,true,12.10.2012,16.10.2016
106,Domainer,9590303714,Bev Seleway,352 dni,29130 zł,9144107,true,17.4.2015,20.2.2019
107,Flexidy,3261674014,Cyndi Pratty,859 dni,82302 zł,5011041,false,30.8.2014,10.11.2018
108,Viva,1565579404,Emilee Ollerhad,471 dni,25021 zł,2358672,false,6.2.2013,16.2.2021
109,Stronghold,9935394377,Greer O' Borne,507 dni,16115 zł,7819132,true,12.11.2014,18.1.2020
110,Y-find,4809592079,Bamby Saylor,113 dni,43735 zł,1825249,true,1.2.2013,30.11.2017
111,Span,2587109940,Huntley Najara,260 dni,68295 zł,1706913,false,9.3.2015,21.6.2021
112,Sonair,116525558,Siana Cogger,266 dni,88332 zł,578506,false,14.1.2015,24.1.2018
113,Viva,5960116907,Seumas Baldassi,631 dni,42331 zł,9490409,true,30.4.2015,8.1.2017
114,Flowdesk,6196958370,Ravid Albin,283 dni,88473 zł,8364404,true,19.5.2015,13.3.2021
115,Keylex,3572777394,Ezequiel Chatan,736 dni,50686 zł,3175524,false,26.7.2013,19.2.2019
116,Zathin,3697504602,Stan Broadley,169 dni,25965 zł,4865006,false,8.8.2013,8.4.2019
117,Zathin,1959460205,Nonna Hawtrey,610 dni,27246 zł,5876619,true,24.3.2014,22.10.2019
118,Lotlux,3357078068,Dallas Fahrenbacher,530 dni,73485 zł,8614337,true,2.3.2013,30.5.2016
119,Prodder,9624987198,Shanna Northedge,572 dni,37632 zł,8168902,false,19.7.2013,20.9.2020
120,Veribet,6428215350,Temple Melbourne,667 dni,548 zł,5530483,false,7.10.2013,23.5.2017
121,Tres-Zap,9956143023,Sullivan Matissoff,14 dni,62131 zł,9850572,true,25.5.2014,24.3.2020
122,Kanlam,8265139269,Ericha Argent,48 dni,96015 zł,8066471,false,28.8.2015,28.6.2018
123,Y-Solowarm,1146480605,Stacia Seeborne,841 dni,51650 zł,9793926,false,6.1.2014,11.10.2020
124,Andalax,7767613025,Danette Jone,53 dni,82246 zł,8660401,false,3.6.2013,16.3.2022
125,Namfix,7472113314,Alfy Coursor,666 dni,38482 zł,7619527,true,21.12.2014,16.4.2016
126,Zontrax,543381698,Tirrell McGrane,597 dni,83781 zł,9536137,true,12.11.2014,7.10.2017
127,Tin,2403656489,Brodie Booi,192 dni,39046 zł,9555399,false,19.5.2013,8.10.2018
128,Tempsoft,2810159156,Michelina Antczak,857 dni,41507 zł,9756640,false,31.10.2015,29.9.2022
129,Stim,8101128044,Marcella Nolte,690 dni,83674 zł,9011826,false,5.1.2014,4.12.2020
130,Biodex,3824971626,Milli Kilmurry,734 dni,16031 zł,3150634,true,3.6.2015,17.11.2021
131,Konklux,2327045608,Leila Marskell,66 dni,98144 zł,8930952,false,28.6.2014,30.12.2021
132,Viva,7108372929,Darrell Brunelleschi,569 dni,49060 zł,7196856,false,31.1.2013,26.2.2021
133,Zathin,8551814214,Rooney Laise,569 dni,34058 zł,8271075,true,10.1.2015,6.2.2019
134,Konklux,946449168,Sollie Farny,828 dni,10754 zł,7657398,true,18.10.2012,16.10.2018
135,Job,1811167578,Morgen Schmidt,436 dni,84555 zł,4596518,true,6.11.2013,11.8.2016
136,Transcof,1536822443,Kinna Shallo,362 dni,69367 zł,9493816,false,25.10.2012,4.7.2020
137,Veribet,2179420760,Hymie Edleston,688 dni,42928 zł,2539417,false,11.9.2012,24.7.2018
138,Wrapsafe,3641217031,Veronica Prosser,816 dni,19757 zł,4877367,true,30.6.2013,17.7.2021
139,Tres-Zap,1288929258,Berton Leighton,23 dni,77188 zł,3952487,false,17.7.2014,5.7.2021
140,Konklab,2742174303,Wallie Phillcox,758 dni,1264 zł,7572141,false,26.9.2015,14.7.2021
141,Fintone,5550291712,Emery Addess,711 dni,3960 zł,9100936,true,11.2.2015,21.3.2019
142,Konklux,4128221452,Dorena Cristofvao,631 dni,13634 zł,4385472,false,31.1.2015,20.5.2018
143,Transcof,1958660919,Loretta Kirtley,555 dni,38380 zł,8218545,true,14.6.2015,19.10.2017
144,Zamit,5284304933,Laurena Varne,387 dni,76101 zł,7881777,false,4.7.2013,6.2.2022
145,Flowdesk,8652290061,Lucho Trowill,714 dni,58605 zł,7949047,false,28.2.2014,16.8.2019
146,Viva,6433589840,Cullie Hebditch,693 dni,80856 zł,1107656,false,2.5.2015,24.12.2017
147,Holdlamis,1183727812,Brennan Fairfoot,834 dni,67121 zł,6856741,true,19.3.2014,14.6.2017
148,Sonsing,1960237259,Marijn Buston,375 dni,37603 zł,1888652,false,8.11.2012,3.10.2020
149,Tresom,3751108822,Rosene Manley,579 dni,43928 zł,3023092,true,2.1.2014,5.6.2016
150,Tresom,5473926115,Corly Sinkings,870 dni,75035 zł,5309755,true,21.11.2013,2.1.2018
151,Aerified,4076626453,Yule Servant,429 dni,72334 zł,6974826,true,14.6.2013,7.3.2019
152,Transcof,7465065506,Serge Kerwin,345 dni,50116 zł,7819475,false,10.11.2013,4.2.2017
153,Sub-Ex,609087329,Ruben Tuberfield,123 dni,94581 zł,3663634,true,19.2.2014,23.1.2020
154,Zontrax,2693082290,Nevile Cathersides,196 dni,75024 zł,4047874,true,20.12.2014,13.9.2018
155,Greenlam,9113067177,Maria Plak,280 dni,44756 zł,2847614,true,29.4.2015,13.1.2018
156,It,9796327229,Mersey Fackney,78 dni,36515 zł,1734794,true,30.11.2015,30.6.2016
157,Vagram,7071811931,Chandler Stennes,291 dni,70062 zł,4998305,false,5.8.2015,27.10.2021
158,Bamity,5598514680,Lacy Jewett,34 dni,3457 zł,1537683,true,28.8.2014,17.4.2018
159,Bitwolf,7733948476,Ramsey Comford,737 dni,93488 zł,693662,false,24.6.2013,28.8.2020
160,Duobam,1324762066,Davidson Waliszek,759 dni,18049 zł,7223174,false,11.1.2015,29.6.2020
161,Pannier,6145769426,Rebecca Biaggetti,94 dni,56474 zł,6346976,true,4.12.2012,20.8.2016
162,Stim,1220624454,Felix Shelmerdine,470 dni,50743 zł,8084027,true,1.9.2013,22.3.2018
163,Veribet,5168274677,Anne Simic,447 dni,75725 zł,8359696,true,4.7.2015,24.1.2020
164,Fintone,1259777748,Eve Kulver,574 dni,44297 zł,7480786,false,20.12.2014,17.6.2018
165,Alphazap,9984309083,Lutero Schenfisch,722 dni,80412 zł,1412398,false,1.8.2013,24.11.2020
166,Zamit,7747918413,Arte Butterick,883 dni,15736 zł,6085768,false,30.8.2012,14.9.2021
167,Subin,4240749274,Clarisse Nowak,587 dni,649 zł,1222564,false,22.11.2015,30.6.2018
168,Greenlam,877712587,Pepito Culshaw,874 dni,89876 zł,5500305,false,4.9.2015,1.12.2019
169,Opela,535072408,Andra Toomer,641 dni,44409 zł,8364296,true,21.8.2012,9.1.2016
170,Job,9894273620,Mikey Gilpillan,314 dni,67993 zł,57900,true,28.8.2013,26.7.2022
171,Alphazap,4312666458,Avigdor Font,839 dni,86400 zł,7736703,false,26.3.2015,1.11.2021
172,Tempsoft,5182694415,Lek Sautter,323 dni,67714 zł,4061262,false,26.12.2012,28.9.2018
173,Subin,8940174190,Jorgan Adamek,768 dni,67979 zł,4631118,true,2.4.2015,12.12.2020
174,Kanlam,1538097312,Teddy McVaugh,624 dni,71829 zł,1021629,false,12.9.2012,26.8.2016
175,Tampflex,6587182096,Jacquelynn Ollerenshaw,878 dni,45178 zł,3469225,true,11.3.2015,6.8.2017
176,Kanlam,5618998390,Francisca Luciani,340 dni,75912 zł,2944550,true,15.12.2012,22.10.2022
177,Subin,1010885030,Fonsie Patrie,43 dni,36591 zł,5761651,true,16.2.2013,14.2.2020
178,Cardguard,1504479876,Aguste Botfield,115 dni,46712 zł,6855267,false,31.5.2013,1.12.2020
179,Transcof,330752170,Win Marquese,557 dni,55615 zł,5379948,true,20.1.2014,29.8.2022
180,Lotlux,526847187,Karney Arnke,508 dni,44835 zł,2118582,false,5.6.2014,23.3.2017
181,Y-find,6690067769,Gilles Halesworth,651 dni,30712 zł,8231250,false,14.4.2015,22.10.2020
182,Tresom,9214090994,Irene Helmke,466 dni,60177 zł,2875442,true,18.4.2015,23.6.2016
183,Duobam,3233199025,Charisse Furzey,184 dni,83851 zł,7838539,true,6.7.2014,28.6.2018
184,Opela,5906618535,Diena Clemon,137 dni,88180 zł,2465791,true,23.8.2013,10.10.2020
185,Redhold,1838463367,Nolan McAlister,124 dni,55811 zł,5764053,true,13.1.2015,7.1.2022
186,Lotlux,6061692419,Clark Kermeen,744 dni,81341 zł,6925056,false,6.4.2015,17.11.2021
187,Stringtough,2021562618,Nataniel Gilluley,531 dni,64346 zł,6338698,false,25.8.2012,17.5.2017
188,Y-Solowarm,4027227612,Berget Stockbridge,280 dni,88563 zł,93788,false,28.1.2014,4.4.2017
189,Bitchip,3595480632,Archie Kagan,575 dni,68849 zł,1932638,false,3.10.2015,12.1.2020
190,Tresom,9126900900,Dane Desporte,247 dni,80628 zł,476898,true,14.11.2013,20.4.2022
191,Treeflex,7530085658,Alethea Easom,535 dni,57668 zł,4216843,false,3.6.2013,15.3.2019
192,Overhold,5503565201,Ancell MacNeilley,758 dni,18093 zł,4714531,true,24.4.2015,9.1.2016
193,Latlux,2577042597,Fiorenze Lampett,492 dni,19569 zł,3903470,false,15.10.2013,27.9.2021
194,Matsoft,8817869449,Cash Duffyn,758 dni,29301 zł,8309362,false,14.6.2014,18.4.2022
195,Solarbreeze,364408351,Yasmeen Sigge,822 dni,31105 zł,6669600,true,17.8.2012,19.1.2022
196,Greenlam,1733418574,Mallissa MacDiarmid,588 dni,54010 zł,2670966,false,16.12.2014,31.3.2019
197,Ventosanzap,1837342522,Kenton Foxwell,821 dni,20478 zł,5485513,false,16.9.2014,4.8.2019
198,Sonsing,1970923835,Brandise Slott,381 dni,75406 zł,4273039,false,9.9.2014,12.11.2021
199,Regrant,9533373751,Shandy Feehily,106 dni,10907 zł,5269936,true,9.10.2012,19.4.2016
200,Span,7014407676,Claribel Paule,390 dni,64422 zł,234966,true,30.9.2014,17.6.2016
201,Zaam-Dox,7927215516,Rhianna Shadfourth,362 dni,76473 zł,6440342,false,5.7.2015,13.2.2016
202,Rank,3942027363,Dov Withur,458 dni,78077 zł,1021806,true,12.5.2015,28.6.2018
203,Wrapsafe,3276313959,Frederica Alfwy,398 dni,10567 zł,3806104,false,3.12.2013,16.2.2016
204,Greenlam,8189374973,Frants Beldan,402 dni,40986 zł,4675448,false,31.7.2015,19.11.2016
205,Cardguard,1869619607,Ethe Thaxton,101 dni,47088 zł,7617444,false,27.2.2015,12.1.2021
206,Holdlamis,7949851369,Rab McLese,645 dni,6836 zł,18766,true,29.8.2013,9.2.2020
207,Bamity,6254578263,Corinna Doucette,538 dni,93829 zł,780151,false,6.4.2013,11.4.2020
208,Otcom,5938193701,Arlen Houten,745 dni,70711 zł,8280982,false,14.10.2013,7.8.2019
209,Tresom,5591028992,Alecia Titford,130 dni,17305 zł,2713695,true,17.6.2015,30.1.2018
210,Zoolab,709584921,Frank McIan,409 dni,42244 zł,582714,true,14.9.2012,18.9.2019
211,Tampflex,8151325822,Skippie Lopez,801 dni,86645 zł,6107814,false,18.1.2014,29.4.2017
212,Flexidy,2413800069,Heda Gon,145 dni,48248 zł,2880485,true,9.6.2014,23.6.2020
213,Y-find,3367439505,Ichabod Beetham,217 dni,87316 zł,8939284,false,15.4.2013,27.11.2016
214,Biodex,8936702430,Jamey Micklewicz,586 dni,38519 zł,4991841,true,1.9.2015,5.2.2016
215,Subin,1229884458,Lottie Chalcroft,402 dni,97508 zł,2072329,false,11.8.2012,21.8.2019
216,Tresom,1974113302,Dedra Lamdin,559 dni,11196 zł,902478,false,30.9.2015,5.11.2019
217,Bigtax,8400454187,Sherwin Cunnington,232 dni,92537 zł,4247776,false,21.10.2013,9.6.2019
218,Treeflex,7898879488,Rori Bicksteth,242 dni,42622 zł,1700925,false,29.6.2015,17.7.2018
219,Alpha,8036716180,Greer Bartoszewski,323 dni,12134 zł,1534871,false,20.10.2015,7.1.2020
220,Asoka,4689433425,Eada Christer,291 dni,96138 zł,6785880,false,5.12.2013,17.9.2018
221,Stim,2468526020,Bianka Akester,660 dni,89370 zł,2465083,false,6.4.2013,19.10.2021
222,Bamity,2822480021,Fernandina Brosini,585 dni,10964 zł,9731827,true,19.1.2015,6.2.2019
223,Y-Solowarm,3452913288,Clo Lukianov,364 dni,17607 zł,160928,true,26.4.2015,31.1.2022
224,Tin,8099415587,Allyson Pankhurst.,550 dni,85135 zł,8329973,false,23.3.2014,23.8.2017
225,Prodder,1364503574,Caralie Mate,207 dni,80152 zł,8393708,true,14.2.2015,25.7.2017
226,Overhold,8934956183,Bale Janda,348 dni,43733 zł,502619,true,15.6.2013,3.1.2020
227,Stronghold,9958499612,Reeta Maleney,338 dni,73481 zł,9188027,false,6.7.2013,24.8.2021
228,Home Ing,4725818332,Jayme Tedstone,484 dni,39245 zł,4683550,false,7.6.2014,30.9.2019
229,Zathin,5864535728,Gusty Johanchon,428 dni,23985 zł,7488098,true,1.11.2015,28.1.2018
230,Sub-Ex,3190908730,Everard Banasevich,143 dni,39577 zł,3056931,true,19.9.2012,12.6.2020
231,Ventosanzap,2296177312,Kendell Groven,27 dni,64535 zł,7403420,true,23.9.2014,6.9.2016
232,Sub-Ex,3966052853,Bryon Winn,805 dni,10208 zł,5635814,true,6.10.2012,4.2.2022
233,Y-find,3047416918,Antin Indgs,684 dni,52072 zł,2497894,false,26.3.2014,26.11.2016
234,Voltsillam,3815171114,Marcelo Melling,655 dni,27956 zł,2408997,false,5.8.2013,1.2.2017
235,Stim,5678889623,Dinny Bernadot,836 dni,64546 zł,1186157,false,8.12.2013,13.8.2018
236,Tresom,1624971666,Kelcie Hargrave,141 dni,61023 zł,7032940,false,2.5.2014,1.5.2019
237,Biodex,8419981622,Alix Gowthrop,690 dni,26293 zł,981677,false,23.8.2012,20.10.2018
238,Bitchip,2632584223,Meggy Middas,639 dni,12206 zł,8950207,true,19.8.2014,16.1.2017
239,Tres-Zap,525099721,Danit Girardin,486 dni,85423 zł,7790101,false,2.11.2014,9.4.2022
240,Pannier,8824067699,Pepe D'Angeli,883 dni,3832 zł,8589380,false,3.1.2013,21.2.2019
241,Voltsillam,4822336227,Jaquelyn Dray,541 dni,82825 zł,3804650,true,17.11.2012,3.11.2017
242,Zontrax,2196702017,Antoinette Hince,187 dni,47145 zł,5484208,true,20.2.2013,4.5.2022
243,Fixflex,8696267584,Emili Spottswood,153 dni,16371 zł,9136987,true,11.3.2013,5.2.2018
244,Toughjoyfax,645323932,Caresa Windows,67 dni,42549 zł,6425593,true,25.12.2014,16.10.2020
245,Latlux,1168822509,Lindsey Gotts,887 dni,2654 zł,3537592,false,11.8.2013,29.7.2020
246,Ventosanzap,1087458840,Emlynn Eborn,7 dni,61359 zł,27500,false,28.1.2015,25.3.2016
247,Cookley,4220061621,Enoch Trobey,175 dni,88971 zł,1280705,true,2.9.2013,25.2.2018
248,Sub-Ex,6522425536,Tabby Gruby,318 dni,91655 zł,8134175,true,7.3.2015,12.4.2021
249,Flexidy,9729802702,Rutherford Lockyear,169 dni,50564 zł,7826131,false,6.11.2015,13.12.2016
250,Mat Lam Tam,869716322,Dyana Boulsher,25 dni,78813 zł,7443071,false,17.8.2012,6.2.2019
251,Tres-Zap,7793775323,Cullin Brimner,379 dni,54638 zł,1718299,true,10.8.2013,13.3.2017
252,Alpha,2920949218,Xylina Holdron,280 dni,92661 zł,6233937,true,14.5.2013,18.5.2016
253,Andalax,4023450878,Xenia Dales,564 dni,46058 zł,3700973,true,3.1.2014,6.7.2022
254,Wrapsafe,6803203058,Sharona Rival,211 dni,71641 zł,8542919,false,26.8.2015,21.11.2018
255,Keylex,7356472760,Ashbey Batty,390 dni,4227 zł,7462513,true,24.12.2014,1.11.2017
256,Konklab,2092625390,Maryann Wattinham,292 dni,76267 zł,4353303,true,4.12.2015,8.12.2019
257,Rank,7764065224,Kori Dinsell,92 dni,12952 zł,2812646,true,8.4.2014,1.10.2018
258,Domainer,2517331253,Ram Aubin,261 dni,68288 zł,1341637,false,3.11.2013,19.7.2022
259,Y-Solowarm,8568107612,Rosemarie Keyzor,785 dni,828 zł,9666826,false,8.1.2015,30.4.2020
260,Daltfresh,7168566653,Cordie Fullalove,523 dni,93869 zł,1493300,false,2.8.2013,14.4.2019
261,Home Ing,7230816512,Anne Cribbott,267 dni,30781 zł,9250926,true,31.3.2014,4.5.2017
262,Cookley,2082221408,Ashil Meric,7 dni,13204 zł,7420040,false,23.3.2014,19.2.2018
